Time,Is_alive,Min_time,Max_time,Avg_time,Std_dev,pct_loss
2024-11-10 14:16:38.609081,True,14.705,29.915,23.174,6.913,0.0
2024-11-10 14:21:50.907483,True,5.882,61.123,40.275,20.099,0.0
2024-11-10 14:27:03.111048,True,5.802,48.527,25.593,17.784,0.0
2024-11-10 14:32:15.458042,True,30.27,89.07,48.466,23.291,0.0
2024-11-10 14:37:27.641501,True,24.601,30.935,28.128,2.742,0.0
2024-11-10 14:42:39.855986,True,6.246,60.124,29.851,17.657,0.0
2024-11-10 14:47:51.985433,True,5.959,29.91,14.453,8.768,0.0
2024-11-10 14:53:04.195314,True,24.555,31.862,29.428,2.554,0.0
2024-11-10 14:58:16.386946,True,15.36,30.911,27.376,6.018,0.0
2024-11-10 15:03:28.520444,True,5.635,31.381,17.713,11.338,0.0
2024-11-10 15:08:40.657075,True,8.624,30.949,20.147,9.05,0.0
2024-11-10 15:13:52.787795,True,5.645,30.261,17.524,10.978,0.0
2024-11-10 15:19:04.916254,True,5.694,30.137,19.202,9.477,0.0
2024-11-10 15:24:17.070622,True,5.659,45.917,20.178,15.327,0.0
2024-11-10 15:29:29.257631,True,15.488,31.725,27.596,6.093,0.0
2024-11-10 15:34:41.456092,True,6.171,29.906,19.4,9.216,0.0
2024-11-10 15:39:53.611212,True,6.584,45.547,23.084,13.052,0.0
2024-11-10 15:45:05.797060,True,5.895,30.817,25.22,9.711,0.0
2024-11-10 15:50:17.991481,True,15.977,30.031,26.908,5.481,0.0
2024-11-10 15:55:30.145355,True,6.155,31.134,21.051,11.664,0.0
2024-11-10 16:00:42.319870,True,14.83,31.033,26.829,6.064,0.0
2024-11-10 16:05:54.512243,True,15.566,46.525,29.853,10.101,0.0
2024-11-10 16:11:06.710233,True,26.918,30.513,29.662,1.389,0.0
2024-11-10 16:16:18.880901,True,15.282,31.026,26.707,5.929,0.0
2024-11-10 16:21:31.044219,True,15.113,31.029,25.971,6.444,0.0
2024-11-10 16:26:43.228456,True,26.294,31.061,29.88,1.812,0.0
2024-11-10 16:31:55.405881,True,15.95,31.449,26.438,6.294,0.0
2024-11-10 16:37:07.665117,True,14.937,62.544,36.488,17.571,0.0
2024-11-10 16:42:19.819699,True,8.408,31.118,24.914,8.636,0.0
2024-11-10 16:47:32.008229,True,15.647,31.489,26.065,5.773,0.0
2024-11-10 16:52:44.198287,True,20.54,31.125,28.546,4.023,0.0
2024-11-10 16:57:56.347015,True,6.968,30.94,21.394,11.511,0.0
2024-11-10 17:03:08.548639,True,22.692,41.682,31.272,6.068,0.0
2024-11-10 17:08:20.786818,True,30.12,46.575,36.777,7.923,0.0
2024-11-10 17:13:32.891014,True,7.039,15.896,10.863,3.342,0.0
2024-11-10 17:18:45.059703,True,14.906,45.715,28.211,10.59,0.0
2024-11-10 17:23:57.194468,True,5.84,29.937,15.239,11.109,0.0
2024-11-10 17:29:09.324672,True,5.774,31.924,11.88,10.081,0.0
2024-11-10 17:34:21.417592,True,5.583,27.071,10.17,8.46,0.0
2024-11-10 17:39:33.596390,True,7.578,46.943,23.297,14.519,0.0
2024-11-10 17:44:45.737998,True,5.791,32.001,14.922,9.941,0.0
2024-11-10 17:49:58.042272,True,11.964,75.661,39.097,25.473,0.0
2024-11-10 17:55:10.215558,True,5.889,39.443,23.538,11.678,0.0
2024-11-10 18:00:22.340471,True,5.807,30.952,13.977,9.126,0.0
2024-11-10 18:05:34.507958,True,5.889,30.978,25.291,9.738,0.0
2024-11-10 18:10:46.653089,True,7.191,30.981,21.945,8.428,0.0
2024-11-10 18:15:58.737481,True,5.835,8.743,6.715,1.072,0.0
2024-11-10 18:21:10.896785,True,6.172,68.686,20.999,23.963,0.0
2024-11-10 18:26:23.254477,True,30.71,67.881,49.473,12.248,0.0
2024-11-10 18:31:35.498258,True,28.642,61.836,36.173,12.845,0.0
2024-11-10 18:36:47.746827,True,30.554,47.147,37.078,7.215,0.0
2024-11-10 18:42:00.322259,True,62.335,154.97,99.881,31.532,0.0
2024-11-10 18:47:12.644939,True,31.387,78.023,53.003,16.061,0.0
2024-11-10 18:52:24.915325,True,29.965,62.055,45.347,13.994,0.0
2024-11-10 18:57:37.396316,True,40.5,107.033,69.346,23.871,0.0
2024-11-10 19:02:49.737492,True,30.801,92.422,51.719,21.149,0.0
2024-11-10 19:08:02.223151,True,29.674,129.058,86.467,32.015,0.0
2024-11-10 19:13:14.867075,True,61.791,125.206,101.845,26.698,0.0
2024-11-10 19:18:27.549039,True,69.275,139.985,109.746,23.316,0.0
2024-11-10 19:23:40.428355,True,125.293,155.638,140.363,10.431,0.0
2024-11-10 19:28:52.680334,True,11.674,63.199,39.716,19.967,0.0
2024-11-10 19:34:05.114612,True,29.884,93.082,59.154,20.741,0.0
2024-11-10 19:39:17.670966,True,61.426,107.587,78.241,16.986,0.0
2024-11-10 19:44:30.286287,True,62.473,155.143,102.455,31.743,0.0
2024-11-10 19:49:42.720514,True,47.123,77.134,62.04,13.371,0.0
2024-11-10 19:54:55.190748,True,30.416,107.503,73.404,26.192,0.0
2024-11-10 20:00:07.734475,True,46.513,107.878,81.947,22.554,0.0
2024-11-10 20:05:20.287417,True,61.418,113.62,81.47,19.673,0.0
2024-11-10 20:10:32.762768,True,30.88,154.761,73.282,44.791,0.0
2024-11-10 20:15:45.813351,True,108.104,250.784,174.537,52.953,0.0
2024-11-10 20:20:58.875384,True,142.034,250.259,199.143,35.732,0.0
2024-11-10 20:26:11.749232,True,91.974,198.276,145.052,34.143,0.0
2024-11-10 20:31:24.619000,True,92.978,176.708,137.635,31.661,0.0
2024-11-10 20:36:37.630171,True,109.361,265.384,173.292,50.805,0.0
2024-11-10 20:41:50.617603,True,125.764,185.88,156.79,22.698,0.0
2024-11-10 20:47:03.741210,True,154.838,216.741,191.863,24.957,0.0
2024-11-10 20:52:16.169645,True,30.565,97.6,53.733,24.43,0.0
2024-11-10 20:57:28.819534,True,65.702,156.169,100.327,34.191,0.0
2024-11-10 21:02:42.028799,True,157.589,242.377,192.91,29.638,0.0
2024-11-10 21:07:55.325987,True,152.471,203.114,174.424,18.506,0.0
2024-11-10 21:13:08.404606,True,136.076,189.828,158.836,24.379,0.0
2024-11-10 21:18:21.552111,True,154.814,213.75,184.513,22.289,0.0
2024-11-10 21:23:34.667758,True,139.313,233.446,175.49,35.344,0.0
2024-11-10 21:28:47.910292,True,154.171,233.264,190.143,32.865,0.0
2024-11-10 21:34:01.336660,True,195.828,277.263,231.566,30.201,0.0
2024-11-10 21:39:14.601580,True,140.095,279.17,208.397,49.093,0.0
2024-11-10 21:44:27.679957,True,156.028,186.92,173.499,11.916,0.0
2024-11-10 21:49:40.875603,True,139.425,220.322,179.697,34.558,0.0
2024-11-10 21:54:54.112148,True,185.664,220.121,204.315,15.04,0.0
2024-11-10 22:00:07.338263,True,158.127,217.271,191.563,25.639,0.0
2024-11-10 22:05:20.560384,True,170.999,249.063,201.274,28.39,0.0
2024-11-10 22:10:33.946985,True,202.027,259.471,229.506,21.306,0.0
2024-11-10 22:15:47.351733,True,186.31,281.946,216.1,34.473,0.0
2024-11-10 22:21:00.807437,True,171.041,293.75,231.526,42.315,0.0
2024-11-10 22:26:14.585177,True,199.974,529.82,294.899,120.441,0.0
2024-11-10 22:31:27.751283,True,153.444,250.321,201.833,39.759,0.0
2024-11-10 22:36:40.973365,True,126.996,254.929,186.965,41.218,0.0
2024-11-10 22:41:54.374163,True,216.36,261.411,236.805,14.413,0.0
2024-11-10 22:47:07.302472,True,93.993,219.033,152.551,40.063,0.0
2024-11-10 22:52:20.495102,True,160.65,245.493,202.076,33.282,0.0
2024-11-10 22:57:33.897367,True,174.022,278.893,239.585,38.973,0.0
2024-11-10 23:02:47.068844,True,186.721,279.012,212.275,33.876,0.0
2024-11-10 23:08:00.520735,True,150.574,528.927,254.017,140.003,0.0
2024-11-10 23:13:13.708137,True,153.994,248.088,188.707,31.839,0.0
2024-11-10 23:18:26.286545,True,35.41,140.678,78.748,35.865,0.0
2024-11-10 23:23:39.363290,True,154.444,185.479,169.584,9.832,0.0
2024-11-10 23:28:52.300963,True,61.716,202.789,136.977,48.55,0.0
2024-11-10 23:34:06.676803,True,201.83,1270.231,441.372,415.311,0.0
2024-11-10 23:39:19.798383,True,154.76,200.715,180.082,15.511,0.0
2024-11-10 23:44:32.916524,True,154.017,170.573,160.874,7.884,0.0
2024-11-10 23:49:45.570319,True,63.212,142.938,101.631,26.319,0.0
2024-11-10 23:54:58.220773,True,47.311,138.949,76.57,32.492,0.0
2024-11-11 00:00:10.567576,True,43.034,107.731,63.995,23.101,0.0
2024-11-11 00:05:23.005209,True,30.961,92.703,59.851,20.514,0.0
2024-11-11 00:10:35.745581,True,108.039,138.457,119.056,11.227,0.0
